dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,164,1567,learned,164,7,1,21,1.06,185,2317,1373,2000,8,0.8608,0.65753,0.40351,-0.62956,0.75,0.17081,6,1.3333,1,0.011706,0,,,,,,,0,,,,1.0597,,1.1146,,1.2186,,0.039734,,0.08795,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,165,1577,learned,165,13,2,46,2.4,185,2331,1373,2000,16,0.7932,0.6467,0.50968,-0.26883,1,0.16258,11,1.2727,1,0.086476,0,,,,,,,0,,,,1.057,,1.4333,,1.9596,,0.044519,,0.16711,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,166,1579,learned,166,10,10,1554,20.86,190,2336,1427,2000,138,0.023012,0.62195,0.10954,-4.6779,,0.19359,0,,,,168,0.030349,0.72527,0.13595,-4.3347,,0.23847,0,,,,1.056,2.1085,,,0.73681,0.80828,0.039538,0.10409,0.14273,0.30234,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,167,1595,learned,167,11,1,17,1.79,191,2348,1427,2000,11,0.94885,0.6271,0.2019,-2.106,1,0.19469,10,1.1,1,0.094313,0,,,,,,,0,,,,1.0679,,1.0493,,1.3666,,0.050516,,0.078364,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,168,1598,learned,168,17,1,16,2.15,191,2365,1427,2000,16,1,0.62151,1e-06,,,0.21426,16,1,1,0.087571,0,,,,,,,0,,,,1.0463,,,,1.1492,,0.037071,,0.12466,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,169,1605,learned,169,6,1,5,0.94,191,2371,1427,2000,5,1,0.74012,1e-06,,,0.2731,5,1,1,0.125,0,,,,,,,0,,,,1.0795,,,,1.2853,,0.037606,,0.21912,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,170,1613,learned,170,16,1,64,2.65,191,2393,1427,2000,22,0.76316,0.65019,0.54741,-0.18776,0.93333,0.17802,15,1.4667,1,0.085076,0,,,,,,,0,,,,1.0604,,1.1345,,2.4205,,0.039946,,0.30083,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,171,1618,learned,171,18,1,75,3.59,191,2413,1427,2000,19,0.94587,0.69198,0.2105,-2.2872,0.91176,0.22162,17,1.1176,1,-0.0024194,0,,,,,,,0,,,,1.0364,,1.0394,,1.1174,,0.037665,,0.12888,,0,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,172,1630,learned,172,3,3,42,0.42,191,2414,1427,2000,6,0.31801,0.70443,0.62536,-0.12644,,0.038941,0,,,,0,,,,,,,0,,,,,,,,,,,,0.13446,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,173,1635,learned,173,19,1,27,2.98,191,2433,1427,2000,18,1,0.67014,1e-06,,,0.2381,18,1,1,0.059476,0,,,,,,,0,,,,1.0434,,,,1.1082,,0.042658,,0.073517,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,174,1643,learned,174,10,2,1489,20.59,195,2441,1466,2000,155,0.28763,0.7051,0.60002,-0.17514,0.60746,0.070407,3,13,3,0.020833,155,0.26565,0.74298,0.57888,-0.28348,0.71429,0.089341,1,35,35,,1.0791,2.1548,1.3571,,1.8364,0.74899,0.04066,0.10312,0.28175,0.33597,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,175,1649,learned,175,6,6,980,13.46,200,2443,1510,2000,80,0.17391,0.63355,0.46203,-0.37123,,0.083365,0,,,,120,0.16833,0.71332,0.45322,-0.57389,,0.12696,0,,,,1.0894,2.1107,,,0.67537,0.74418,0.041808,0.10412,0.16662,0.3038,,0
